text,pattern_type,pattern_name,manipulative_phrases
Sign up for our newsletter to receive updates,0,none,
Sign up for our newsletter to receive updates,0,none,
Enter your email to create an account,0,none,
Sign up for our newsletter to receive updates,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Click here to complete your purchase,0,none,
Sign up for our newsletter to receive updates,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Enter your email to create an account,0,none,
Click here to complete your purchase,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Click here to complete your purchase,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Click here to complete your purchase,0,none,
Would you like to save your progress?,0,none,
Would you like to save your progress?,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Choose your preferred settings,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Click here to complete your purchase,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Sign up for our newsletter to receive updates,0,none,
Click here to complete your purchase,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Would you like to save your progress?,0,none,
Choose your preferred settings,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
Would you like to save your progress?,0,none,
Click here to complete your purchase,0,none,
Enter your email to create an account,0,none,
Would you like to save your progress?,0,none,
Choose your preferred settings,0,none,
Click here to complete your purchase,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Enter your email to create an account,0,none,
Enter your email to create an account,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Sign up for our newsletter to receive updates,0,none,
Sign up for our newsletter to receive updates,0,none,
Choose your preferred settings,0,none,
Enter your email to create an account,0,none,
Enter your email to create an account,0,none,
Sign up for our newsletter to receive updates,0,none,
Sign up for our newsletter to receive updates,0,none,
Enter your email to create an account,0,none,
Sign up for our newsletter to receive updates,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Enter your email to create an account,0,none,
Choose your preferred settings,0,none,
Click here to complete your purchase,0,none,
Would you like to save your progress?,0,none,
Sign up for our newsletter to receive updates,0,none,
Enter your email to create an account,0,none,
Click here to complete your purchase,0,none,
Sign up for our newsletter to receive updates,0,none,
Enter your email to create an account,0,none,
Sign up for our newsletter to receive updates,0,none,
Would you like to save your progress?,0,none,
